State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Delhi,East Delhi,110609,True,True,,,,,False,True,,False
Delhi,Delhi,111112,True,True,,,,,False,True,,False
Delhi,Delhi,111120,True,True,,,,,False,True,,False
Delhi,Delhi,111121,True,True,,,,,False,True,,False
Haryana,Faridabad,121000,True,True,,,,,False,True,,False
Haryana,Faridabad,121001,True,True,,,,,False,True,,False
Haryana,Faridabad,121002,True,True,,,,,False,True,,False
Haryana,Faridabad,121003,True,True,,,,,False,True,,False
Haryana,Faridabad,121004,True,True,,,,,False,True,,False
Haryana,Faridabad,121005,True,True,,,,,False,True,,False
Haryana,Faridabad,121006,True,True,,,,,False,True,,False
Haryana,Faridabad,121007,True,True,,,,,False,True,,False
Haryana,Faridabad,121008,True,True,,,,,False,True,,False
Haryana,Faridabad,121009,True,True,,,,,False,True,,False
Haryana,Faridabad,121010,True,True,False,ROUTE,100000.0,100000.0,True,True,11:30,True
Haryana,Faridabad,121012,True,True,,,,,False,True,,False
Haryana,Faridabad,121013,True,True,,,,,False,True,,False
Haryana,Faridabad,121015,False,True,,,,,False,True,,False
Haryana,Faridabad,121101,True,True,,,,,False,True,,False
Haryana,Faridabad,121102,True,True,,,,,False,True,,False
Haryana,Faridabad,121103,True,True,,,,,False,True,,False
Haryana,Faridabad,121105,False,True,,,,,False,True,,False
Haryana,Faridabad,121106,True,True,,,,,False,True,,False
Haryana,Faridabad,121107,True,True,,,,,False,True,,False
Haryana,Gurugram,122000,True,True,,,,,False,True,,False
Haryana,Gurgaon,122001,True,True,,,,,False,True,,False
Haryana,Gurgaon,122002,True,True,,,,,False,True,,False
Haryana,Gurgaon,122003,True,True,,,,,False,True,,False
Haryana,Gurgaon,122004,True,True,,,,,False,True,,False
Haryana,Gurgaon,122005,True,True,,,,,False,True,,False
Haryana,Gurgaon,122006,True,True,,,,,False,True,,False
Haryana,Gurgaon,122007,True,True,,,,,False,True,,False
Haryana,Gurgaon,122008,True,True,,,,,False,True,,False
Haryana,Gurgaon,122009,True,True,,,,,False,True,,False
Haryana,Gurgaon,122010,True,True,,,,,False,True,,False
Haryana,Gurgaon,122011,True,True,,,,,False,True,,False
Haryana,Gurgaon,122012,True,True,,,,,False,True,,False
Haryana,Gurugram,122013,True,True,,,,,False,True,,False
Haryana,Gurugram,122014,True,True,,,,,False,True,,False
Haryana,Gurgaon,122015,True,True,,,,,False,True,,False
Haryana,Gurgaon,122016,True,True,,,,,False,True,,False
Haryana,Gurgaon,122017,True,True,,,,,False,True,,False
Haryana,Gurgaon,122018,True,True,,,,,False,True,,False
Haryana,Gurgaon,122019,True,True,,,,,False,True,,False
Haryana,Gurugram,122021,True,True,,,,,False,True,,False
Haryana,Gurgaon,122022,True,True,,,,,False,True,,False
Haryana,Gurgaon,122050,True,True,,,,,False,True,,False
Haryana,Gurgaon,122051,True,True,,,,,False,True,,False
Haryana,Gurgaon,122052,True,True,,,,,False,True,,False
Haryana,Gurugram,122055,True,True,,,,,False,True,,False
Haryana,Bhiwadi,122100,True,True,,,,,False,True,,False
Haryana,Gurgaon,122101,True,True,,,,,False,True,,False
Haryana,Gurgaon,122102,True,True,,,,,False,True,,False
Haryana,Gurgaon,122103,True,True,,,,,False,True,,False
Haryana,Gurgaon,122104,False,True,,,,,False,True,,False
Haryana,Gurgaon,122105,True,False,,,,,False,True,,False
Haryana,Gurgaon,122107,True,True,,,,,False,True,,False
Haryana,Gurgaon,122108,True,True,,,,,False,True,,False
Haryana,Gurgaon,122203,True,True,,,,,False,True,,False
Haryana,Gurgaon,122204,True,True,,,,,False,True,,False
Haryana,Gurgaon,122206,True,True,,,,,False,True,,False
Haryana,Gurgaon,122207,True,True,,,,,False,True,,False
Haryana,Gurgaon,122208,True,True,,,,,False,True,,False
Haryana,Gurgaon,122209,True,True,,,,,False,True,,False
Haryana,Gurgaon,122210,True,True,,,,,False,True,,False
Haryana,Gurgaon,122211,True,True,,,,,False,True,,False
Haryana,Gurgaon,122213,True,True,,,,,False,True,,False
Delhi,Delhi Ncr,122214,True,True,,,,,False,True,,False
Haryana,Gurgaon,122215,True,True,,,,,False,True,,False
Haryana,Gurgaon,122216,True,True,,,,,False,True,,False
Haryana,Gurgaon,122217,True,True,,,,,False,True,,False
Haryana,Gurgaon,122218,True,True,,,,,False,True,,False
Haryana,Gurgaon,122219,True,True,,,,,False,True,,False
Haryana,Gurgaon,122220,True,True,,,,,False,True,,False
Delhi,Delhi Ncr,122223,True,True,,,,,False,True,,False
Haryana,Gurgaon,122224,True,True,,,,,False,True,,False
Haryana,Gurgaon,122225,True,True,,,,,False,True,,False
Delhi,Delhi Ncr,122226,True,True,,,,,False,True,,False
Haryana,Gurgaon,122227,True,True,,,,,False,True,,False
Delhi,Delhi Ncr,122228,True,True,,,,,False,True,,False
Delhi,Delhi Ncr,122229,True,True,,,,,False,True,,False
Delhi,Delhi Ncr,122230,True,True,,,,,False,True,,False
Haryana,Gurgaon,122231,True,True,,,,,False,True,,False
Haryana,Gurgaon,122232,True,True,,,,,False,True,,False
Haryana,Gurgaon,122233,True,True,,,,,False,True,,False
Delhi,Delhi Ncr,122234,True,True,,,,,False,True,,False
Haryana,Gurgaon,122413,True,True,,,,,False,True,,False
